annual_rental_cost_of_sq_m,floor,nearest_metro
2.909685322223091,-0.5345224838248487,-0.8059907030439988
1.8778213535561108,-0.5345224838248487,-0.2795271022998627
3.932661326725393,-0.5345224838248487,-0.726081049359621
0.07499817073366812,1.0690449676496978,-0.8059907030439988
4.630223159391901,-0.5345224838248487,-0.23252142366199346
6.350474288039271,-0.5345224838248487,-0.655572531402817
6.350474288039271,-0.5345224838248487,0.0025069695273529933
2.909972030744532,1.0690449676496978,0.04951264816522228
-0.5305302265502058,-0.5345224838248487,0.5195694345439151
2.2218715792855845,-0.5345224838248487,-0.7242008222141062
-0.5305302265502058,-0.5345224838248487,-0.17611460929655032
1.1897209020971633,-0.5345224838248487,-0.6367702599476693
